index,path,symbol,coin_name,UCID,key_derivation,xprv_priv_header,xprv_pub_header,pub_key_hash,script_hash,wif,main_version_byte,test_version_bytes,evm,comment,status,level
113,0x80000071,THC,Hempcoin,,,0x0488ADE4,0x0488B21E,0x28,0x08,0xa8,,,,,,1
114,0x80000072,LINX,Linx,,,0x0488ADE4,0x0488B21E,0x4b,0x05,0xcb,,,,,,1
115,0x80000073,ECN,Ecoin,,,0x0488ADE4,0x0488B21E,0x5c,0x14,0xdc,,,,,,1
116,0x80000074,DNR,Denarius,,,0x0488ADE4,0x0488B21E,0x1e,0x5a,0x9e,,,,,,1
117,0x80000075,PINK,Pinkcoin,,,0x0488ADE4,0x0488B21E,0x03,0x1c,0x83,,,,,,1
118,0x80000076,ATOM,Cosmos,,,0x0488ADE4,0x0488B21E,,,,,,,,,1
119,0x80000077,PIVX,Pivx,,,0x0221312B,0x022D2533,0x1e,0x0d,0xd4,,,,,,1
120,0x80000078,FLASH,Flashcoin,,,0x0488ADE4,0x0488B21E,0x44,0x82,0xc4,,,,,,1
121,0x80000079,ZEN,Zencash,,,0x0488ADE4,0x0488B21E,0x2089,0x2096,0x80,,,,,,1
122,0x8000007a,PUT,Putincoin,,,0x0488ADE4,0x0488B21E,0x37,0x14,0xb7,,,,,,1
123,0x8000007b,ZNY,BitZeny,,,,,,,,,,,,,1
124,0x8000007c,UNIFY,Unify,,,,,,,,,,,,,1
125,0x8000007d,XST,StealthCoin,,,,,,,,,,,,,1
126,0x8000007e,BRK,Breakout Coin,,,,,,,,,,,,,1
127,0x8000007f,VC,Vcash,,,0x0488ADE4,0x0488B21E,0x47,0x08,0xc7,,,,,,1
128,0x80000080,XMR,Monero,,,,,,,,,,,,,1
129,0x80000081,VOX,Voxels,,,,,,,,,,,,,1
130,0x80000082,NAV,NavCoin,,,0x0488ADE4,0x0488B21E,0x35,0x55,0x96,,,,,,1
131,0x80000083,FCT,Factom Factoids,,,,,,,,,,,,,1
132,0x80000084,EC,Factom Entry Credits,,,,,,,,,,,,,1
133,0x80000085,ZEC,Zcash,,,0x0488ADE4,0x0488B21E,0x1CB8,0x1CBD,0x80,,,,,,1
134,0x80000086,LSK,Lisk,,,,,,,,,,,,,1
135,0x80000087,STEEM,Steem,,,,,,,,,,,,,1
136,0x80000088,XZC,ZCoin,,,0x0488ADE4,0x0488B21E,0x52,0x07,0xd2,,,,,,1
137,0x80000089,RBTC,RSK,,,,,,,,,,,,,1
138,0x8000008a,,Giftblock,,,,,,,,,,,,,1
139,0x8000008b,RPT,RealPointCoin,,,,,,,,,,,,,1
140,0x8000008c,LBC,LBRY Credits,,,0x0488ADE4,0x0488B21E,0x55,0x7a,0x1c,,,,,,1
141,0x8000008d,KMD,Komodo,,,0x0488ADE4,0x0488B21E,0x3c,0x55,0xbc,,,,,,1
142,0x8000008e,BSQ,bisq Token,,,,,,,,,,,,,1
143,0x8000008f,RIC,Riecoin,,,,,,,,,,,,,1
144,0x80000090,XRP,Ripple,,,0x0488ADE4,0x0488B21E,,,,,,,,,1
145,0x80000091,BCH,Bitcoin Cash,,secp256k1,0x043587CF,0x04358394,0x6f,0xc4,0xef,0x80,,,,,1
146,0x80000092,NEBL,Neblio,,,0x0488ADE4,0x0488B21E,0x35,0x70,0xb5,,,,,,1
147,0x80000093,ZCL,ZClassic,,,0x0488ADE4,0x0488B21E,0x1CB8,0x1CBD,0x80,,,,,,1
148,0x80000094,XLM,Stellar Lumens,,Non-secpk,,,,,,,,,,,1
149,0x80000095,NLC2,NoLimitCoin2,,,,,,,,,,,,,1
150,0x80000096,WHL,WhaleCoin,,,,,,,,,,,,,1
151,0x80000097,ERC,EuropeCoin,,,0x0488ADE4,0x0488B21E,0x21,0x05,0xa8,,,,,,1
152,0x80000098,DMD,Diamond,,,0x0488ADE4,0x0488B21E,0x5a,0x08,0xda,,,,,,1
153,0x80000099,BTM,Bytom,,,,,,,,,,,,,1
154,0x8000009a,BIO,Biocoin,,,,,,,,,,,,,1
155,0x8000009b,XWCC,Whitecoin Classic,,,,,,,,,,,,,1
156,0x8000009c,BTG,Bitcoin Gold,,secp256k1,0x0488ADE4,0x0488B21E,0x26,0x17,0x80,,,,,,1
157,0x8000009d,BTC2X,Bitcoin 2x,,,,,,,,,,,,,1
158,0x8000009e,SSN,SuperSkynet,,,,,,,,,,,,,1
159,0x8000009f,TOA,TOACoin,,,0x0488ADE4,0x0488B21E,0x41,0x17,0xc1,,,,,,1
160,0x800000a0,BTX,Bitcore,,secp256k1,0x0488ADE4,0x0488B21E,0x03,0x7D,0x80,,,,,,1
161,0x800000a1,ACC,Adcoin,,,0x0488ADE4,0x0488B21E,0x17,0x05,0xb0,,,,,,1
162,0x800000a2,BCO,Bridgecoin,,,,,,,,,,,,,1
163,0x800000a3,ELLA,Ellaism,,,,,,,,,,,,,1
164,0x800000a4,PIRL,Pirl,,,,,,,,,,,,,1
165,0x800000a5,XNO,Nano,,,,,,,,,,,,,1
166,0x800000a6,VIVO,Vivo,,,0x0488ADE4,0x0488B21E,0x46,0x0a,0xc6,,,,,,1
167,0x800000a7,FRST,Firstcoin,,,0x0488ADE4,0x0488B21E,0x23,0x05,0xa3,,,,,,1
168,0x800000a8,HNC,Helleniccoin,,,0x0488ADE4,0x0488B21E,0x30,0x05,0xb0,,,,,,1
169,0x800000a9,BUZZ,BUZZ,,,,,,,,,,,,,1
170,0x800000aa,MBRS,Ember,,,,,,,,,,,,,1
171,0x800000ab,HC,Hcash,,,,,,,,,,,,,1
172,0x800000ac,HTML,HTMLCOIN,,,,,,,,,,,,,1
173,0x800000ad,ODN,Obsidian,,,,,,,,,,,,,1
174,0x800000ae,ONX,OnixCoin,,,,,,,,,,,,,1
175,0x800000af,RVN,Ravencoin,,,0x0488ADE4,0x0488B21E,0x3c,0x7a,0x80,,,,,,1
176,0x800000b0,GBX,GoByte,,,0x0488ADE4,0x0488B21E,0x26,0x0a,0xc6,,,,,,1
177,0x800000b1,BTCZ,BitcoinZ,,,0x0488ADE4,0x0488B21E,0x1CB8,0x1CBD,0x80,,,,,,1
178,0x800000b2,POA,Poa,,,,,,,,,,,,,1
179,0x800000b3,NYC,NewYorkCoin,,,0x0488ADE4,0x0488B21E,0x3c,0x16,0xbc,,,,,,1
180,0x800000b4,MXT,MarteXcoin,,,,,,,,,,,,,1
181,0x800000b5,WC,Wincoin,,,0x0488ADE4,0x0488B21E,0x49,0x1c,0xc9,,,,,,1
182,0x800000b6,MNX,Minexcoin,,,0x0488ADE4,0x0488B21E,0x4b,0x05,0x80,,,,,,1
183,0x800000b7,BTCP,Bitcoin Private,,,0x0488ADE4,0x0488B21E,0x1325,0x13AF,0x80,,,,,,1
184,0x800000b8,MUSIC,Musicoin,,,,,,,,,,,,,1
185,0x800000b9,BCA,Bitcoin Atom,,,0x0488ADE4,0x0488B21E,0x17,0x0a,0x80,,,,,,1
186,0x800000ba,CRAVE,Crave,,,0x0488ADE4,0x0488B21E,0x46,0x55,0x99,,,,,,1
187,0x800000bb,STAK,STRAKS,,,,,,,,,,,,,1
188,0x800000bc,WBTC,World Bitcoin,,,,,,,,,,,,,1
189,0x800000bd,LCH,LiteCash,,,,,,,,,,,,,1
