status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,UCID,cmc_top
🟥,263,ZBUX,Zbux,,,,,,,,,,
🟥,264,KPL,Kepler,,,,,,,,,,
🟥,265,TPAY,TokenPay,,,,,,,,,,
🟥,266,ZILLA,ChainZilla,,,,,,,,,,
🟥,267,ANK,Anker,,,,,,,,,,
🟥,268,BCC,BCChain,,,,,,,,,,
🟥,269,HPB,HPB,,,,,,,,,,
🟥,270,ONE,ONE,,,,,,,,,,
🟥,271,SBC,SBC,,,,,,,,,,
🟥,272,IPC,IPChain,,,,,,,,,,
🟥,273,DMTC,Dominantchain,,,,,,,,,,
🟥,274,OGC,Onegram,,,,,,,,,,
🟥,275,SHIT,Shitcoin,,,,,,,,,,
🟥,276,ANDES,Andescoin,,,,,,,,,,
🟥,277,AREPA,Arepacoin,,,,,,,,,,
🟧,278,BOLI,Bolivarcoin,secp256k1,sha256,,,0x55,,0xD5,,,
🟥,279,RIL,Rilcoin,,,,,,,,,,
🟥,280,HTR,Hathor Network,,,,,,,,,,
🟥,281,ACME,Accumulate,,,,,,,,,,
🟥,282,BRAVO,BRAVO,,,,,,,,,,
🟦,283,ALGO,Algorand,ed25519,,,,,,,,,100
🟥,284,BZX,Bitcoinzero,,,,,,,,,,
🟥,285,GXX,GravityCoin,,,,,,,,,,
🟥,286,HEAT,HEAT,,,,,,,,,,
🟥,287,XDN,DigitalNote,,,,,,,,,,
✅,288,FSN,FUSION,secp256k1,keccak256,,,,,,TRUE,,
🟥,289,CPC,Capricoin,,,,,,,,,,
🟥,290,BOLD,Bold,,,,,,,,,,
🟥,291,IOST,IOST,,,,,,,,,,
🟥,292,TKEY,Tkeycoin,,,,,,,,,,
🟥,293,USE,Usechain,,,,,,,,,,
🟥,294,BCZ,BitcoinCZ,,,,,,,,,,
🟥,295,IOC,Iocoin,,,,,,,,,,
🟥,296,ASF,Asofe,,,,,,,,,,
🟥,297,MASS,MASS,,,,,,,,,,
🟥,298,FAIR,FairCoin,,,,,,,,,,
🟥,299,NUKO,Nekonium,,,,,,,,,,
🟥,300,GNX,Genaro Network,,,,,,,,,,
✅,301,DIVI,Divi Project,secp256k1,sha256,0x0221312B,0x022D2533,0x1e,0x0d,0xd4,,,
🟥,302,CMT,Community,,,,,,,,,,
🟥,303,EUNO,EUNO,,,,,,,,,,
✅,304,IOTX,IoTeX,secp256k1,keccak256,,,,,,TRUE,,
🟧,305,ONION,DeepOnion,secp256k1,sha256,,,0x1F,0x4E,0x9F,,,
🟥,306,8BIT,8Bit,,,,,,,,,,
🟥,307,ATC,AToken Coin,,,,,,,,,,
🟥,308,BTS,Bitshares,,,,,,,,,,
🟦,309,CKB,Nervos CKB,secp256k1,blake2b,,,,,,,,100
🟥,310,UGAS,Ultrain,,,,,,,,,,
🟥,311,ADS,Adshares,,,,,,,,,,
🟥,312,ARA,Aura,,,,,,,,,,
🟥,313,ZIL,Zilliqa,,,,,,,,,,
🟥,314,MOAC,MOAC,,,,,,,,,,
🟥,315,SWTC,SWTC,,,,,,,,,,
🟥,316,VNSC,vnscoin,,,,,,,,,,
🟥,317,PLUG,Plug,,,,,,,,,,
🟥,318,MAN,Matrix AI Network,,,,,,,,,,
🟥,319,ECC,ECCoin,,,,,,,,,,
🟧,320,RPD,Rapids,secp256k1,sha256,,,0x3d,0x06,0x2e,,,
🟥,321,RAP,Rapture,,,,,,,,,,
🟥,322,GARD,Hashgard,,,,,,,,,,
🟥,323,ZER,Zero,,,,,,,,,,
🟥,324,EBST,eBoost,,,,,,,,,,
🟥,325,SHARD,Shard,,,,,,,,,,
🟥,326,MRX,Metrix Coin,,,,,,,,,,
🟥,327,CMM,Commercium,,,,,,,,,,
🟥,328,BLOCK,Blocknet,,,,,,,,,,
🟥,329,AUDAX,AUDAX,,,,,,,,,,
🟥,330,LUNA,Terra,,,,,,,,,,
🟥,331,ZPM,zPrime,,,,,,,,,,
🟥,332,KUVA,Kuva Utility Note,,,,,,,,,,
🟥,333,MEM,MemCoin,,,,,,,,,,
🟥,334,CS,Credits,,,,,,,,,,
🟥,335,SWIFT,SwiftCash,,,,,,,,,,
✅,336,FIX,FIX,secp256k1,sha256,0x0221312B,0x022D2533,0x23,0x5F,0x3C,,,
🟥,337,CPC,CPChain,,,,,,,,,,
🟥,338,VGO,VirtualGoodsToken,,,,,,,,,,
🟥,339,DVT,DeVault,,,,,,,,,,
🟥,340,N8V,N8VCoin,,,,,,,,,,
🟥,341,MTNS,OmotenashiCoin,,,,,,,,,,
🟥,342,BLAST,BLAST,,,,,,,,,,
🟥,343,DCT,DECENT,,,,,,,,,,
🟥,344,AUX,Auxilium,,,,,,,,,,
🟥,345,USDP,USDP,,,,,,,,,,
🟥,346,HTDF,HTDF,,,,,,,,,,
🟥,347,YEC,Ycash,,,,,,,,,,
🟥,348,QLC,QLC Chain,,,,,,,,,,
🟥,349,TEA,Icetea Blockchain,,,,,,,,,,
🟥,350,ARW,ArrowChain,,,,,,,,,,
🟥,351,MDM,Medium,,,,,,,,,,
🟥,352,CYB,Cybex,,,,,,,,,,
🟥,353,LTO,LTO Network,,,,,,,,,,
🟦,354,DOT,Polkadot,ed25519,,,,,,,,,10
🟥,355,AEON,Aeon,,,,,,,,,,
🟥,356,RES,Resistance,,,,,,,,,,
✅,357,AYA,Aryacoin,secp256k1,sha256,,,0x17,0x6f,0x97,,,
🟥,358,DAPS,Dapscoin,,,,,,,,,,
🟥,359,CSC,CasinoCoin,,,,,,,,,,
🟥,360,VSYS,V Systems,,,,,,,,,,
🟥,361,NOLLAR,Nollar,,,,,,,,,,
🟥,362,XNOS,NOS,,,,,,,,,,
✅,363,CPU,CPUchain,secp256k1,sha256,,,0x1c,0x1E,,,,
🟥,364,LAMB,Lambda Storage Chain,,,,,,,,,,
🟥,365,VCT,ValueCyber,,,,,,,,,,
🟥,366,CZR,Canonchain,,,,,,,,,,
🟥,367,ABBC,ABBC,,,,,,,,,,
🟥,368,HET,HET,,,,,,,,,,
🟥,369,XAS,Asch,,,,,,,,,,
🟥,370,VDL,Vidulum,,,,,,,,,,
🟥,371,MED,MediBloc,,,,,,,,,,
🟥,372,ZVC,ZVChain,,,,,,,,,,
🟥,373,VESTX,Vestx,,,,,,,,,,
🟥,374,DBT,DarkBit,,,,,,,,,,
🟥,375,SEOS,SuperEOS,,,,,,,,,,
🟥,376,MXW,Maxonrow,,,,,,,,,,
🟥,377,ZNZ,ZENZO,,,,,,,,,,
🟥,378,XCX,XChain,,,,,,,,,,
🟥,379,SOX,SonicX,,,,,,,,,,
🟥,380,NYZO,Nyzo,,,,,,,,,,
🟥,381,ULC,ULCoin,,,,,,,,,,
🟥,382,RYO,Ryo Currency,,,,,,,,,,
🟥,383,KAL,Kaleidochain,,,,,,,,,,
🟥,384,XSN,Stakenet,,,,,,,,,,
